,between_days,Data
1545,2015-03-26,acoustic
1546,2015-03-27,acoustic
1547,2015-03-28,acoustic
1548,2015-03-29,acoustic
1549,2015-03-30,acoustic
1550,2015-03-31,acoustic
1520,2015-03-01,whale
1521,2015-03-02,whale
1522,2015-03-03,whale
1523,2015-03-04,whale
1524,2015-03-05,whale
1525,2015-03-06,whale
1526,2015-03-07,whale
1527,2015-03-08,whale
1528,2015-03-09,whale
1529,2015-03-10,whale
1530,2015-03-11,whale
1531,2015-03-12,whale
1532,2015-03-13,whale
1533,2015-03-14,whale
1534,2015-03-15,whale
1535,2015-03-16,whale
1536,2015-03-17,whale
1537,2015-03-18,whale
1538,2015-03-19,whale
1539,2015-03-20,whale
1540,2015-03-21,whale
1541,2015-03-22,whale
1542,2015-03-23,whale
1543,2015-03-24,whale
1544,2015-03-25,whale
1545,2015-03-26,whale
1546,2015-03-27,whale
1547,2015-03-28,whale
1548,2015-03-29,whale
1549,2015-03-30,whale
1550,2015-03-31,whale
1551,2015-04-01,acoustic
1552,2015-04-02,acoustic
1553,2015-04-03,acoustic
1554,2015-04-04,acoustic
1555,2015-04-05,acoustic
1556,2015-04-06,acoustic
1557,2015-04-07,acoustic
1558,2015-04-08,acoustic
1559,2015-04-09,acoustic
1560,2015-04-10,acoustic
1561,2015-04-11,acoustic
1562,2015-04-12,acoustic
1563,2015-04-13,acoustic
1564,2015-04-14,acoustic
1565,2015-04-15,acoustic
1566,2015-04-16,acoustic
1567,2015-04-17,acoustic
1568,2015-04-18,acoustic
1569,2015-04-19,acoustic
1570,2015-04-20,acoustic
1571,2015-04-21,acoustic
1572,2015-04-22,acoustic
1573,2015-04-23,acoustic
1574,2015-04-24,acoustic
1575,2015-04-25,acoustic
1576,2015-04-26,acoustic
1577,2015-04-27,acoustic
1578,2015-04-28,acoustic
1579,2015-04-29,acoustic
1580,2015-04-30,acoustic
1581,2015-05-01,acoustic
1582,2015-05-02,acoustic
1583,2015-05-03,acoustic
1584,2015-05-04,acoustic
1585,2015-05-05,acoustic
1586,2015-05-06,acoustic
1587,2015-05-07,acoustic
1588,2015-05-08,acoustic
1589,2015-05-09,acoustic
1590,2015-05-10,acoustic
1591,2015-05-11,acoustic
1592,2015-05-12,acoustic
1593,2015-05-13,acoustic
1594,2015-05-14,acoustic
1595,2015-05-15,acoustic
1596,2015-05-16,acoustic
1597,2015-05-17,acoustic
1598,2015-05-18,acoustic
1599,2015-05-19,acoustic
1600,2015-05-20,acoustic
1601,2015-05-21,acoustic
1602,2015-05-22,
1603,2015-05-23,
1604,2015-05-24,
1605,2015-05-25,
1606,2015-05-26,
1607,2015-05-27,
1608,2015-05-28,
1609,2015-05-29,
1610,2015-05-30,
1611,2015-05-31,
1826,2016-01-01,
1827,2016-01-02,
1828,2016-01-03,
1829,2016-01-04,
1830,2016-01-05,
1831,2016-01-06,
1832,2016-01-07,
1833,2016-01-08,
1834,2016-01-09,
1835,2016-01-10,
1836,2016-01-11,
1837,2016-01-12,
1838,2016-01-13,
1839,2016-01-14,
1840,2016-01-15,
1841,2016-01-16,
1842,2016-01-17,
1843,2016-01-18,
1844,2016-01-19,
1845,2016-01-20,
1846,2016-01-21,
1847,2016-01-22,
1848,2016-01-23,
1849,2016-01-24,
1850,2016-01-25,
1851,2016-01-26,
1852,2016-01-27,
1853,2016-01-28,
1854,2016-01-29,
1855,2016-01-30,
1856,2016-01-31,
1857,2016-02-01,
1858,2016-02-02,
1859,2016-02-03,
1860,2016-02-04,
1861,2016-02-05,
1862,2016-02-06,
1863,2016-02-07,
