,between_days,c_recordOnDays
1464,2015-01-04,
1465,2015-01-05,
1466,2015-01-06,
1467,2015-01-07,
1468,2015-01-08,
1469,2015-01-09,
1470,2015-01-10,
1471,2015-01-11,
1472,2015-01-12,
1473,2015-01-13,
1474,2015-01-14,
1475,2015-01-15,
1476,2015-01-16,
1477,2015-01-17,
1478,2015-01-18,
1479,2015-01-19,
1480,2015-01-20,
1481,2015-01-21,
1482,2015-01-22,
1483,2015-01-23,
1484,2015-01-24,
1485,2015-01-25,
1486,2015-01-26,
1487,2015-01-27,
1488,2015-01-28,
1489,2015-01-29,
1490,2015-01-30,
1491,2015-01-31,
1492,2015-02-01,
1493,2015-02-02,
1494,2015-02-03,
1495,2015-02-04,
1496,2015-02-05,
1497,2015-02-06,
1498,2015-02-07,
1499,2015-02-08,
1500,2015-02-09,
1501,2015-02-10,
1502,2015-02-11,
1503,2015-02-12,
1504,2015-02-13,
1505,2015-02-14,
1506,2015-02-15,
1507,2015-02-16,
1508,2015-02-17,93
1509,2015-02-18,93
1510,2015-02-19,93
1511,2015-02-20,93
1512,2015-02-21,93
1513,2015-02-22,93
1514,2015-02-23,93
1515,2015-02-24,93
1516,2015-02-25,93
1517,2015-02-26,93
1518,2015-02-27,93
1519,2015-02-28,93
1520,2015-03-01,93
1521,2015-03-02,93
1522,2015-03-03,93
1523,2015-03-04,93
1524,2015-03-05,93
1525,2015-03-06,93
1526,2015-03-07,93
1527,2015-03-08,93
1528,2015-03-09,93
1529,2015-03-10,93
1530,2015-03-11,93
1531,2015-03-12,93
1532,2015-03-13,93
1533,2015-03-14,93
1534,2015-03-15,93
1535,2015-03-16,93
1536,2015-03-17,93
1537,2015-03-18,93
1538,2015-03-19,93
1539,2015-03-20,93
1540,2015-03-21,93
1541,2015-03-22,93
1542,2015-03-23,93
1543,2015-03-24,93
1544,2015-03-25,93
1545,2015-03-26,93
1546,2015-03-27,93
1547,2015-03-28,93
1548,2015-03-29,93
1549,2015-03-30,93
1550,2015-03-31,93
1551,2015-04-01,93
1552,2015-04-02,93
1553,2015-04-03,93
1554,2015-04-04,93
1555,2015-04-05,93
1556,2015-04-06,93
1557,2015-04-07,93
1558,2015-04-08,93
1559,2015-04-09,93
1560,2015-04-10,93
1561,2015-04-11,93
1562,2015-04-12,93
1563,2015-04-13,93
1564,2015-04-14,93
1565,2015-04-15,93
1566,2015-04-16,93
1567,2015-04-17,93
1568,2015-04-18,93
1569,2015-04-19,93
1570,2015-04-20,93
1571,2015-04-21,93
1572,2015-04-22,93
1573,2015-04-23,93
1574,2015-04-24,93
1575,2015-04-25,93
1576,2015-04-26,93
1577,2015-04-27,93
1578,2015-04-28,93
1579,2015-04-29,93
1580,2015-04-30,93
1581,2015-05-01,93
1582,2015-05-02,93
1583,2015-05-03,93
1584,2015-05-04,93
1585,2015-05-05,93
1586,2015-05-06,93
1587,2015-05-07,93
1588,2015-05-08,93
1589,2015-05-09,93
1590,2015-05-10,93
1591,2015-05-11,93
1592,2015-05-12,93
1593,2015-05-13,93
1594,2015-05-14,93
1595,2015-05-15,93
1596,2015-05-16,93
1597,2015-05-17,93
1598,2015-05-18,93
1599,2015-05-19,93
1600,2015-05-20,93
1601,2015-05-21,93
1602,2015-05-22,
1603,2015-05-23,
1604,2015-05-24,
1605,2015-05-25,
1606,2015-05-26,
1607,2015-05-27,
1608,2015-05-28,
1609,2015-05-29,
1610,2015-05-30,
1611,2015-05-31,
1826,2016-01-01,
1827,2016-01-02,
1828,2016-01-03,
1829,2016-01-04,
1830,2016-01-05,
1831,2016-01-06,
1832,2016-01-07,
1833,2016-01-08,
1834,2016-01-09,
1835,2016-01-10,
1836,2016-01-11,
1837,2016-01-12,
1838,2016-01-13,
1839,2016-01-14,
1840,2016-01-15,
1841,2016-01-16,
1842,2016-01-17,
1843,2016-01-18,
1844,2016-01-19,
1845,2016-01-20,
1846,2016-01-21,
1847,2016-01-22,
1848,2016-01-23,
1849,2016-01-24,
1850,2016-01-25,
1851,2016-01-26,
1852,2016-01-27,
1853,2016-01-28,
1854,2016-01-29,
1855,2016-01-30,
1856,2016-01-31,
1857,2016-02-01,
1858,2016-02-02,
1859,2016-02-03,
1860,2016-02-04,
1861,2016-02-05,
1862,2016-02-06,
1863,2016-02-07,
1864,2016-02-08,
1865,2016-02-09,
1866,2016-02-10,
1867,2016-02-11,
1868,2016-02-12,
1869,2016-02-13,
1870,2016-02-14,
1871,2016-02-15,111
1872,2016-02-16,111
1873,2016-02-17,111
1874,2016-02-18,111
1875,2016-02-19,111
1876,2016-02-20,111
1877,2016-02-21,111
1878,2016-02-22,111
1879,2016-02-23,111
1880,2016-02-24,111
1881,2016-02-25,111
1882,2016-02-26,111
1883,2016-02-27,111
1884,2016-02-28,111
1885,2016-02-29,111
1886,2016-03-01,111
1887,2016-03-02,111
1888,2016-03-03,111
1889,2016-03-04,111
1890,2016-03-05,111
1891,2016-03-06,111
1892,2016-03-07,111
1893,2016-03-08,111
1894,2016-03-09,111
1895,2016-03-10,111
1896,2016-03-11,111
1897,2016-03-12,111
1898,2016-03-13,111
