,Date,DataType,sightings,Overlap
261,2011-03-14,Acoustic,,Acoustic
262,2011-03-15,Acoustic,,Acoustic
263,2011-03-16,Acoustic,,Acoustic
264,2011-03-17,Acoustic,,AcousticWhaleZooplankton
265,2011-03-18,Acoustic,,Acoustic
266,2011-03-19,Acoustic,,Acoustic
267,2011-03-20,Acoustic,,AcousticWhale
268,2011-03-21,Acoustic,,Acoustic
269,2011-03-22,Acoustic,,Acoustic
270,2011-03-23,Acoustic,,AcousticWhale
271,2011-03-24,Acoustic,,Acoustic
272,2011-03-25,Acoustic,,Acoustic
273,2011-03-26,Acoustic,,AcousticWhale
274,2011-03-27,Acoustic,,Acoustic
275,2011-03-28,Acoustic,,Acoustic
276,2011-03-29,Acoustic,,Acoustic
277,2011-03-30,Acoustic,,AcousticWhale
278,2011-03-31,Acoustic,,Acoustic
279,2011-04-01,Acoustic,,Acoustic
280,2011-04-02,Acoustic,,Acoustic
281,2011-04-03,Acoustic,,Acoustic
282,2011-04-04,Acoustic,,Acoustic
283,2011-04-05,Acoustic,,Acoustic
284,2011-04-06,Acoustic,,Acoustic
285,2011-04-07,Acoustic,,AcousticWhale
286,2011-04-08,Acoustic,,AcousticWhale
287,2011-04-09,Acoustic,,Acoustic
288,2011-04-10,Acoustic,,Acoustic
289,2011-04-11,Acoustic,,Acoustic
290,2011-04-12,Acoustic,,Acoustic
291,2011-04-13,Acoustic,,Acoustic
292,2011-04-14,Acoustic,,AcousticWhale
293,2011-04-15,Acoustic,,AcousticWhale
294,2011-04-16,Acoustic,,Acoustic
295,2011-04-17,Acoustic,,Acoustic
296,2011-04-18,Acoustic,,Acoustic
297,2011-04-19,Acoustic,,AcousticWhaleZooplankton
298,2011-04-20,Acoustic,,Acoustic
299,2011-04-21,Acoustic,,Acoustic
300,2011-04-22,Acoustic,,AcousticWhale
301,2011-04-23,Acoustic,,Acoustic
302,2011-04-24,Acoustic,,AcousticWhale
303,2011-04-25,Acoustic,,AcousticWhaleZooplankton
304,2011-04-26,Acoustic,,Acoustic
305,2011-04-27,Acoustic,,AcousticWhale
306,2011-04-28,Acoustic,,Acoustic
307,2011-04-29,Acoustic,,AcousticWhaleZooplankton
308,2011-04-30,Acoustic,,AcousticWhale
309,2011-05-01,Acoustic,,Acoustic
310,2011-05-02,Acoustic,,AcousticWhale
311,2011-05-03,Acoustic,,AcousticWhale
312,2011-05-04,Acoustic,,Acoustic
313,2011-05-05,Acoustic,,Acoustic
314,2011-05-06,Acoustic,,Acoustic
315,2011-05-07,Acoustic,,Acoustic
316,2011-05-08,Acoustic,,Acoustic
317,2013-01-28,Acoustic,,AcousticWhaleZooplankton
318,2013-01-29,Acoustic,,Acoustic
319,2013-01-30,Acoustic,,Acoustic
320,2013-01-31,Acoustic,,Acoustic
321,2013-02-01,Acoustic,,Acoustic
322,2013-02-02,Acoustic,,Acoustic
323,2013-02-03,Acoustic,,Acoustic
324,2013-02-04,Acoustic,,Acoustic
325,2013-02-05,Acoustic,,AcousticWhale
326,2013-02-06,Acoustic,,AcousticWhale
327,2013-02-07,Acoustic,,Acoustic
328,2013-02-08,Acoustic,,Acoustic
329,2013-02-09,Acoustic,,Acoustic
330,2013-02-10,Acoustic,,Acoustic
331,2013-02-11,Acoustic,,Acoustic
332,2013-02-12,Acoustic,,Acoustic
333,2013-02-13,Acoustic,,AcousticWhale
334,2013-02-14,Acoustic,,Acoustic
335,2013-02-15,Acoustic,,Acoustic
336,2013-02-16,Acoustic,,Acoustic
337,2013-02-17,Acoustic,,Acoustic
338,2013-02-18,Acoustic,,Acoustic
339,2013-02-19,Acoustic,,AcousticWhale
340,2013-02-20,Acoustic,,Acoustic
341,2013-02-21,Acoustic,,Acoustic
342,2013-02-22,Acoustic,,Acoustic
343,2013-02-23,Acoustic,,AcousticWhale
344,2013-02-24,Acoustic,,Acoustic
345,2013-02-25,Acoustic,,Acoustic
346,2013-02-26,Acoustic,,AcousticWhale
347,2013-02-27,Acoustic,,Acoustic
348,2013-02-28,Acoustic,,Acoustic
349,2013-03-01,Acoustic,,Acoustic
350,2013-03-02,Acoustic,,Acoustic
351,2013-03-03,Acoustic,,Acoustic
352,2013-03-04,Acoustic,,Acoustic
353,2013-03-05,Acoustic,,Acoustic
354,2013-03-06,Acoustic,,Acoustic
355,2013-03-07,Acoustic,,Acoustic
356,2013-03-08,Acoustic,,Acoustic
357,2013-03-09,Acoustic,,Acoustic
358,2013-03-10,Acoustic,,Acoustic
359,2013-03-11,Acoustic,,AcousticWhaleZooplankton
360,2013-03-12,Acoustic,,Acoustic
361,2013-03-13,Acoustic,,AcousticWhale
362,2013-03-14,Acoustic,,Acoustic
363,2013-03-15,Acoustic,,Acoustic
364,2013-03-16,Acoustic,,Acoustic
365,2013-03-17,Acoustic,,Acoustic
366,2013-03-18,Acoustic,,AcousticWhaleZooplankton
367,2013-03-19,Acoustic,,Acoustic
368,2013-03-20,Acoustic,,Acoustic
369,2013-03-21,Acoustic,,AcousticWhale
370,2013-03-22,Acoustic,,Acoustic
371,2013-03-23,Acoustic,,Acoustic
372,2013-03-24,Acoustic,,Acoustic
373,2013-03-25,Acoustic,,Acoustic
374,2013-03-26,Acoustic,,Acoustic
375,2013-03-27,Acoustic,,AcousticWhale
376,2013-03-28,Acoustic,,Acoustic
377,2013-03-29,Acoustic,,AcousticWhale
378,2013-03-30,Acoustic,,AcousticWhale
379,2013-03-31,Acoustic,,Acoustic
380,2013-04-01,Acoustic,,Acoustic
381,2013-04-02,Acoustic,,Acoustic
382,2013-04-03,Acoustic,,Acoustic
383,2013-04-04,Acoustic,,AcousticWhale
384,2013-04-05,Acoustic,,Acoustic
385,2013-04-06,Acoustic,,Acoustic
386,2013-04-07,Acoustic,,Acoustic
387,2013-04-08,Acoustic,,AcousticWhaleZooplankton
388,2013-04-09,Acoustic,,Acoustic
389,2013-04-10,Acoustic,,AcousticWhale
390,2013-04-11,Acoustic,,AcousticWhale
391,2013-04-12,Acoustic,,Acoustic
392,2013-04-13,Acoustic,,AcousticWhale
393,2013-04-14,Acoustic,,AcousticWhale
394,2013-04-15,Acoustic,,AcousticWhaleZooplankton
395,2013-04-16,Acoustic,,Acoustic
396,2013-04-17,Acoustic,,AcousticWhale
397,2013-04-18,Acoustic,,AcousticWhale
398,2013-04-19,Acoustic,,Acoustic
399,2013-04-20,Acoustic,,Acoustic
400,2013-04-21,Acoustic,,AcousticWhale
401,2013-04-22,Acoustic,,Acoustic
402,2013-04-23,Acoustic,,AcousticWhale
403,2013-04-24,Acoustic,,Acoustic
404,2013-04-25,Acoustic,,Acoustic
405,2013-04-26,Acoustic,,AcousticWhaleZooplankton
406,2013-04-27,Acoustic,,AcousticWhale
407,2013-04-28,Acoustic,,AcousticWhale
408,2013-04-29,Acoustic,,AcousticWhaleZooplankton
409,2013-04-30,Acoustic,,AcousticWhale
410,2013-05-01,Acoustic,,AcousticWhaleZooplankton
411,2013-05-02,Acoustic,,Acoustic
412,2013-05-03,Acoustic,,Acoustic
413,2013-05-04,Acoustic,,Acoustic
414,2013-05-05,Acoustic,,AcousticZooplankton
415,2013-05-06,Acoustic,,Acoustic
416,2014-03-01,Acoustic,,AcousticWhale
417,2014-03-02,Acoustic,,Acoustic
418,2014-03-03,Acoustic,,Acoustic
419,2014-03-04,Acoustic,,AcousticWhaleZooplankton
420,2014-03-05,Acoustic,,Acoustic
421,2014-03-06,Acoustic,,Acoustic
422,2014-03-07,Acoustic,,AcousticWhale
423,2014-03-08,Acoustic,,AcousticWhale
424,2014-03-09,Acoustic,,Acoustic
425,2014-03-10,Acoustic,,AcousticWhale
