Date,DataType,sightings
2018-04-30,Whale_CCS,0
2018-04-30,Whale_NARWC,124
2018-05-01,Whale_NARWC,21
2018-05-03,Whale_NARWC,13
2018-05-04,Whale_CCS,0
2018-05-04,Whale_NARWC,67
2018-05-05,Whale_NARWC,3
2018-05-06,Whale_CCS,0
2018-05-06,Whale_NARWC,55
2018-05-07,Whale_NARWC,2
2018-05-08,Whale_NARWC,4
2018-05-09,Whale_CCS,0
2018-05-09,Whale_NARWC,12
2018-05-13,Whale_NARWC,1
2018-05-14,Whale_CCS,0
2018-12-11,Whale_NARWC,9
2018-12-14,Whale_NARWC,5
2018-12-19,Whale_NARWC,8
2018-12-30,Whale_NARWC,3
